
################################################################################
#  SUPPLEMENT A: COMPLETE GAME DATA STRING CATALOG
################################################################################

--- WEAPON NAMES (130 found) ---
  0FE2B0: "AC-1 Dutiful"
  0FE2C0: "AC-2 Obedient"
  0FDF28: "AD-11 Livewire"
  0FE160: "AD-26 Bleeding Edge"
  0FE178: "AD-49 Apollonian"
  0FE078: "AF-02 Haz-Master"
  0FE060: "AF-50 Noxious Ranger"
  0FDE80: "AF-52 Lockdown"
  0FDE90: "AF-91 Field Chemist"
  0FD650: "AR-2 Coyote"
  0FD5E8: "AR-23 Liberator"
  0FED10: "AR-23A Liberator Carbine"
  0FECF0: "AR-23C Liberator Concussive"
  0FECD0: "AR-23P Liberator Penetrator"
  0FD640: "AR-32 Pacifier"
  0FED30: "AR-48 Truth Whisperer"
  0FEDD8: "AR-59 Suppressor"
  0FD5F8: "AR-61 Tenderizer"
  0FD7D0: "ARC-12 Blitzer"
  0FE190: "BP-20 Correct Officer"
  0FE1A8: "BP-32 Jackboot"
  0FDF38: "BP-77 Grand Juror"
  0FD610: "BR-14 Adjudicator"
  0FD770: "CB-9 Exploding Crossbow"
  0FDC08: "CE-07 Demolition Specialist"
  0FDF98: "CE-101 Guerilla Gorilla"
  0FDB70: "CE-27 Ground Breaker"
  0FDB48: "CE-35 Trench Engineer"
  0FDF78: "CE-64 Grenadier"
  0FDB60: "CE-67 Titan"
  0FDB28: "CE-74 Breaker"
  0FDD58: "CE-81 Juggernaut"
  0FDB88: "CM-09 Bonesnapper"
  0FDBC8: "CM-10 Clinician"
  0FDD00: "CM-14 Physician"
  0FDBB8: "CM-17 Butcher"
  0FDBA0: "CM-21 Trench Paramedic"
  0FE328: "CPG-48 Sapper"
  0FE338: "CPH-26 Commandant"
  0FE038: "CPR-80 Bulwark"
  0FDAD8: "CW-22 Kodiak"
  0FE378: "CW-36 Winter Warrior"
  0FDAC0: "CW-4 Arctic Ranger"
  0FDF68: "CW-9 White Wolf"
  0FEE10: "DBS-2 Double Freedom"
  0FDB38: "DP-00 Tactical"
  0FDCE0: "DP-11 Champion of the People"
  0FDCA0: "DP-40 Hero of the Federation"
  0FDDD8: "DP-53 Saviour of the Free"
  0FDD70: "DP-8 Mountain-Scaled"
  0FDF50: "DS-10 Big Game Hunter"
  0FE1D8: "DS-191 Scorpion"
  0FE1B8: "DS-42 Federation's Blade"
  0FDD40: "EX-00 Prototype X"
  0FDC58: "EX-03 Prototype 3"
  0FDC70: "EX-16 Prototype 16"
  104198: "FF 0F 83 FE ?? 0F 84"
  0FD848: "FLAM-66 Torcher"
  0FDE20: "FS-05 Marksman"
